timestamp,bitcoin_usd,ethereum_usd,dogecoin_usd,solana_usd
2025-06-04T09:52:08.970609,105618,2613.1,0.195069,156.74
2025-06-04T09:52:08.970609,105618,2613.1,0.195069,156.74
2025-06-04T09:52:08.970609,105618,2613.1,0.195069,156.74
2025-06-04T09:52:21.861390,105618,2613.1,0.195069,156.74
2025-06-04T09:52:21.861390,105618,2613.1,0.195069,156.74
2025-06-04T09:52:21.861390,105618,2613.1,0.195069,156.74
2025-06-04T09:52:35.920750,105618,2613.1,0.195069,156.74
2025-06-04T09:52:35.920750,105618,2613.1,0.195069,156.74
2025-06-04T09:52:35.920750,105618,2613.1,0.195069,156.74
2025-06-04T09:53:03.962334,105618,2613.1,0.195069,156.74
2025-06-04T09:53:03.962334,105618,2613.1,0.195069,156.74
2025-06-04T09:53:17.382132,105611,2613.15,0.195087,156.76
2025-06-04T09:53:17.382132,105611,2613.15,0.195087,156.76
2025-06-04T09:53:17.382132,105611,2613.15,0.195087,156.76
2025-06-04T09:53:30.894414,105611,2613.15,0.195087,156.76
2025-06-04T09:53:30.894414,105611,2613.15,0.195087,156.76
2025-06-04T09:53:30.894414,105611,2613.15,0.195087,156.76
2025-06-04T09:53:48.854418,105611,2613.15,0.195087,156.76
2025-06-04T09:53:48.854418,105611,2613.15,0.195087,156.76
2025-06-04T09:54:01.819391,105611,2613.15,0.195087,156.76
2025-06-04T09:54:01.819391,105611,2613.15,0.195087,156.76
2025-06-04T09:54:01.819391,105611,2613.15,0.195087,156.76
2025-06-04T09:54:14.579216,105611,2613.15,0.195087,156.76
2025-06-04T09:54:14.579216,105611,2613.15,0.195087,156.76
2025-06-04T09:54:14.579216,105611,2613.15,0.195087,156.76
2025-06-04T09:54:28.876233,105612,2613.39,0.195101,156.77
2025-06-04T09:54:28.876233,105612,2613.39,0.195101,156.77
2025-06-04T09:54:28.876233,105612,2613.39,0.195101,156.77
2025-06-04T09:54:41.592768,105612,2613.39,0.195101,156.77
2025-06-04T09:54:41.592768,105612,2613.39,0.195101,156.77
2025-06-04T09:54:41.592768,105612,2613.39,0.195101,156.77
2025-06-04T09:54:53.905220,105612,2613.39,0.195101,156.77
