timestamp,bitcoin_usd,ethereum_usd
2025-06-02 11:01:29,105194,2515.57
2025-06-02 11:01:39,105194,2515.57
2025-06-02 11:01:49,105194,2515.57
2025-06-02 11:02:00,105194,2515.57
2025-06-02 11:03:14,105178,2515.05
2025-06-02 11:03:25,105178,2515.05
2025-06-02 11:03:35,105178,2515.05
2025-06-02 11:03:46,105178,2515.05
2025-06-02 11:03:58,105178,2515.05
2025-06-02 11:04:11,105178,2515.05
2025-06-02 11:04:22,105164,2514.66
2025-06-02 11:04:34,105164,2514.66
2025-06-02 11:04:44,105164,2514.66
2025-06-02 11:04:55,105164,2514.66
2025-06-02 11:05:07,105164,2514.66
2025-06-02 11:05:18,105164,2514.66
2025-06-02 11:05:28,105155,2513.5
2025-06-02 11:05:39,105155,2513.5
2025-06-02 11:05:49,105155,2513.5
2025-06-02 11:07:03,105132,2512.14
2025-06-02 11:07:14,105132,2512.14
2025-06-02 11:07:25,105132,2512.14
2025-06-02 11:07:35,105132,2512.14
2025-06-02 11:07:46,105132,2512.14
2025-06-02 11:09:01,105091,2511.43
2025-06-02 11:09:12,105091,2511.43
2025-06-02 11:09:23,105091,2511.43
2025-06-02 11:09:34,105091,2511.43
2025-06-02 11:09:44,105091,2511.43
2025-06-02 11:10:56,105077,2510.17
2025-06-02 11:11:07,105077,2510.17
2025-06-02 11:11:17,105077,2510.17
2025-06-02 11:11:27,105077,2510.17
2025-06-02 11:11:38,105077,2510.17
2025-06-02 11:11:48,105077,2510.17
2025-06-02 11:13:03,105043,2509.57
2025-06-02 11:13:15,105043,2509.57
2025-06-02 11:13:25,105043,2509.57
2025-06-02 11:13:36,105043,2509.57
2025-06-02 11:13:50,105043,2509.57
2025-06-02 11:14:02,105043,2509.57
2025-06-02 11:14:14,105022,2507.9
2025-06-02 11:14:25,105022,2507.9
2025-06-02 11:14:36,105022,2507.9
2025-06-02 11:16:06,105009,2507.24
2025-06-02 11:16:17,105009,2507.24
2025-06-02 11:16:29,105009,2507.24
2025-06-02 11:16:39,105009,2507.24
2025-06-02 11:16:50,105009,2507.24
2025-06-02 11:17:01,105009,2507.24
2025-06-02 11:18:15,104985,2505.3
2025-06-02 11:18:25,104985,2505.3
2025-06-02 11:18:38,104985,2505.3
2025-06-02 11:18:49,104985,2505.3
2025-06-02 11:18:59,104985,2505.3
2025-06-02 11:19:10,104985,2505.3
2025-06-02 11:19:21,104957,2504.89
2025-06-02 11:19:32,104957,2504.89
2025-06-02 11:19:42,104957,2504.89
2025-06-02 11:19:52,104957,2504.89
2025-06-02 11:20:03,104957,2504.89
2025-06-02 11:20:13,104957,2504.89
2025-06-02 11:21:26,104939,2503.82
